,label,lcs_results
0,0,67
1,0,58
2,0,61
3,0,60
4,0,66
5,0,63
6,0,64
7,0,61
8,0,63
9,0,61
10,0,66
11,0,62
12,0,59
13,0,60
14,0,60
15,0,64
16,0,60
17,0,65
18,0,68
19,0,62
20,0,60
21,0,66
22,0,60
23,0,71
24,0,69
25,0,70
26,0,74
27,0,67
28,0,63
29,0,62
30,0,66
31,0,65
32,0,59
33,0,66
34,0,58
35,0,70
36,0,63
37,0,57
38,0,67
39,0,60
40,0,62
41,0,66
42,0,64
43,0,69
44,0,64
45,0,60
46,0,65
47,0,60
48,0,69
49,0,69
50,0,69
51,0,71
52,0,69
53,0,65
54,0,68
55,0,65
56,0,59
57,0,66
58,0,58
59,0,69
60,0,64
61,0,59
62,0,66
63,0,61
64,0,67
65,0,57
66,0,60
67,0,57
68,0,66
69,0,64
70,0,62
71,0,63
72,0,59
73,0,65
74,0,62
75,0,61
76,0,69
77,0,57
78,0,61
79,0,60
80,0,59
81,0,60
82,0,61
83,0,59
84,0,60
85,0,56
86,0,57
87,0,57
88,0,75
89,0,64
90,0,61
91,0,59
92,0,62
93,0,66
94,0,58
95,0,72
96,0,56
97,0,68
98,0,65
99,0,64
100,0,60
101,0,62
102,0,61
103,0,54
104,0,52
105,0,58
106,0,58
107,0,65
108,0,61
109,0,66
110,0,68
111,0,58
112,0,67
113,0,57
114,0,60
115,0,57
116,0,66
117,0,64
118,0,62
119,0,63
120,0,61
121,0,59
122,0,62
123,0,61
124,0,69
125,0,57
126,0,61
127,0,60
128,0,59
129,0,60
130,0,61
131,0,59
132,0,65
133,0,65
134,0,54
135,0,52
136,0,61
137,0,66
138,0,68
139,0,66
140,0,57
141,0,70
142,0,63
143,0,60
144,0,57
145,0,60
146,0,75
147,0,64
148,0,66
149,0,70
150,0,58
151,0,62
152,0,66
153,0,61
154,0,72
155,0,56
156,0,67
157,0,63
158,0,61
159,0,64
160,0,64
161,0,60
162,0,57
163,0,67
164,0,57
165,0,60
166,0,57
167,0,66
168,0,65
169,0,62
170,0,63
171,0,59
172,0,66
173,0,62
174,0,61
175,0,70
176,0,56
177,0,62
178,0,60
179,0,59
180,0,60
181,0,61
182,0,60
183,0,58
184,0,70
185,0,58
186,0,56
187,0,58
188,0,72
189,0,65
190,0,64
191,0,58
192,0,62
193,0,68
194,0,71
195,0,57
196,0,67
197,0,59
198,0,67
199,0,57
200,0,60
201,0,57
202,0,66
203,0,65
204,0,62
205,0,63
206,0,61
207,0,59
208,0,66
209,0,62
210,0,61
211,0,70
212,0,56
213,0,62
214,0,60
215,0,59
216,0,60
217,0,61
218,0,60
219,0,60
220,0,70
221,0,62
222,0,60
223,0,61
224,0,60
225,0,73
226,0,67
227,0,68
228,0,68
229,0,66
230,0,65
231,0,63
232,0,68
233,0,65
234,0,58
235,0,73
236,0,57
237,0,66
238,0,68
239,0,64
240,0,63
241,0,65
242,0,58
243,0,67
244,0,57
245,0,60
246,0,57
247,0,66
248,0,64
249,0,62
250,0,63
251,0,61
252,0,59
253,0,65
254,0,62
255,0,61
256,0,69
257,0,57
258,0,61
259,0,60
260,0,59
261,0,60
262,0,61
263,0,59
264,0,67
265,0,62
266,0,59
267,0,58
268,0,66
269,0,64
270,0,66
271,0,70
272,0,58
273,0,62
274,0,66
275,0,62
276,0,62
277,0,70
278,0,57
279,0,63
280,0,60
281,0,61
282,0,64
283,0,60
284,0,69
285,0,64
286,0,60
287,0,65
288,0,60
289,0,69
290,0,69
291,0,71
292,0,69
293,0,65
294,0,68
295,0,65
296,0,59
297,0,66
